close,high,low,open,time,volumefrom,volumeto
445.72,449.67,444.04,449.63,1533024000,18535.53,8289052.82
445.26,447.52,444.33,445.72,1533027600,16846.92,7524514.7
433.21,445.52,433.21,445.26,1533031200,31703.86,13951760.98
437.77,440.23,431.96,433.17,1533034800,22816.15,9960424.53
433.14,437.97,430.88,437.77,1533038400,30038.99,13025958.08
430.49,436.23,429.76,433.15,1533042000,22747.5,9858761.08
430.57,432.18,427.45,430.45,1533045600,25614.76,11033372.39
430.18,430.92,428.82,430.57,1533049200,14593.69,6277407.7
432.38,432.43,428.93,430.22,1533052800,22962.53,9892547.36
433.27,436.2,431.96,432.38,1533056400,20732.03,9006241.3
432.92,434.03,431.62,433.27,1533060000,11218.45,4858207.64
434.84,435.29,432.75,432.92,1533063600,9435.87,4098610.14
432.16,434.86,431.42,434.86,1533067200,15101.46,6549257.6
431.82,432.72,431.8,432.16,1533070800,7628.83,3299484.79
430.68,432.2,430.47,431.82,1533074400,8176.77,3532265.28
431.99,434.04,428.09,430.68,1533078000,23117.44,9967683.12
431.84,435.63,431.69,431.97,1533081600,18291.44,7936095.74
415.3,432.36,415.24,431.84,1533085200,45784.36,19406842.61
416.69,417.63,411.65,415.3,1533088800,42238.19,17502363.64
417.27,418.29,415.84,416.71,1533092400,14774.9,6165719.89
416.32,418.71,415.42,417.27,1533096000,14172.07,5917075.21
418.18,418.39,414.9,416.32,1533099600,15245.74,6357364.33
420.64,421.69,417.95,418.18,1533103200,26217.5,11011738.31
421.2,421.49,419.96,420.61,1533106800,16309.12,6874951.77
425.52,426.49,421.19,421.2,1533110400,26489.32,11252832.66
423.63,426.15,423.61,425.52,1533114000,10637.68,4541206.52
423.12,423.63,420.52,423.63,1533117600,11819.1,5005948.07
423.98,423.98,421.31,423.12,1533121200,11085.19,4698129.57
423.12,425.29,422.22,423.98,1533124800,8841.19,3753086.5
424.01,424.6,422.54,423.06,1533128400,10856.37,4605533.52
421.87,424.74,421.79,424.01,1533132000,13041.07,5534652.23
421.09,422.98,420.85,421.86,1533135600,13482.94,5681993.16
420.17,422.02,418.66,421.09,1533139200,14723.06,6194661.62
418.81,420.23,418.48,420.17,1533142800,9192.5,3857674.0
416.96,419.74,416.61,418.81,1533146400,10324.35,4323017.68
419.6,419.61,416.96,416.96,1533150000,8526.61,3570443.53
409.63,419.62,409.22,419.6,1533153600,34039.82,14063916.6
409.37,411.78,408.57,409.63,1533157200,16799.18,6900476.26
420.4,421.33,407.92,409.37,1533160800,26740.65,11133803.41
419.87,421.2,417.84,420.4,1533164400,10914.07,4581162.05
422.32,423.82,419.84,419.87,1533168000,16254.08,6869116.31
423.04,424.48,421.8,422.32,1533171600,15605.25,6599312.99
421.52,423.03,420.75,423.03,1533175200,19605.5,8258411.3
421.18,421.81,420.43,421.52,1533178800,7249.09,3052639.24
418.62,421.21,418.62,421.18,1533182400,9430.23,3964541.13
419.06,419.09,418.24,418.62,1533186000,7040.97,2949806.94
419.64,420.0,418.95,419.04,1533189600,7568.15,3180441.47
421.0,421.68,419.58,419.64,1533193200,6502.31,2740416.9
417.79,421.0,417.79,421.0,1533196800,7926.62,3330264.93
415.51,418.78,415.5,417.78,1533200400,9742.93,4070222.16
414.93,415.52,412.97,415.52,1533204000,12475.53,5170836.66
414.78,415.53,413.84,415.02,1533207600,11839.57,4918255.88
411.14,415.35,411.14,414.78,1533211200,10216.06,4228754.82
410.38,413.54,409.38,411.14,1533214800,13774.9,5671657.93
412.47,412.59,409.65,410.38,1533218400,18358.16,7549234.11
411.91,414.1,411.6,412.49,1533222000,14027.61,5796447.15
412.81,415.28,408.36,411.87,1533225600,21416.22,8832678.42
409.09,412.81,408.83,412.81,1533229200,12584.21,5175665.7
409.26,410.1,407.8,409.09,1533232800,13272.91,5427255.65
409.31,410.03,408.15,409.26,1533236400,15282.12,6261409.48
409.89,412.03,409.04,409.32,1533240000,11252.72,4622354.77
410.25,410.41,409.43,409.89,1533243600,7154.04,2938039.24
411.59,412.06,410.05,410.25,1533247200,7146.61,2942489.18
410.83,412.25,410.82,411.59,1533250800,7457.41,3072747.96
404.27,410.83,401.58,410.83,1533254400,28885.27,11694736.74
401.43,404.28,398.88,404.27,1533258000,36568.5,14670060.5
401.74,401.75,400.09,401.43,1533261600,16989.98,6808841.69
401.53,402.08,401.2,401.74,1533265200,12365.81,4966784.15
400.83,401.54,397.77,401.53,1533268800,29937.76,11942238.97
403.35,403.83,400.66,400.83,1533272400,20535.39,8267459.37
405.12,405.18,401.64,403.35,1533276000,15040.94,6086883.39
408.88,408.89,403.36,405.12,1533279600,27092.83,10985530.88
408.29,410.56,407.66,408.89,1533283200,12565.37,5143614.77
